que,op1,op2,op3,op4,answer
Insertion (Average),O(n),O(1),O(mn),O(log(n)),O(log(n))
Access (Average),O(n),O(n log(n)),O(m),O(log(n)),O(log(n))
A complete graph can have,n2 spanning trees,nn - 2 spanning trees,nn + 1 spanning trees,nn spanning trees,nn - 2 spanning trees
Queue data structure works on,LIFO,FIFO,FILO,NONE OF ABOVE,FIFO
What about recursion is true in comparison with iteration?,very expensive in terms of memory.,low performance.,every recursive program can be written with iteration too.,all of the above are true!,all of the above are true!
A procedure that calls itself is called,illegal call, reverse polish,recursive,none of the above,recursive
"Maximum number of nodes in a binary tree with height k, where root is height 0, is",2k ? 1,2k+1 ? 1,2k-1 + 1,2k ? 1,2k+1 ? 1
The following formula will produce  (Fn = Fn-1 + Fn-2),Armstrong Number, Fibonacci Series,Euler Number,Prime Number, Fibonacci Series
Minimum number of spanning tree in a connected graph is,n,nn - 1,1,0,1
An algorithm is,a piece of code to be executed.,a loosely written code to make final code., a step by step procedure to solve problem.,all of the above., a step by step procedure to solve problem.
"How many swaps are required to sort the given array using bubble sort - { 2, 5, 1, 3, 4}",4,5,6,7,4
Access time of a binary search tree may go worse in terms of time complexity upto,?(n2),?(n log n),?(n),?(1),?(n)
What is algorithm?,"Algorithm is a step by step procedure, which defines a set of instructions to be executed in certain order to get the desired output.",Algorithm is a step by step procedure,"Algorithm is a step by step procedure,for Program ",none of above,"Algorithm is a step by step procedure, which defines a set of instructions to be executed in certain order to get the desired output."
What is tower of hanoi?,"Tower of Hanoi, is a mathematical puzzle which consists of three tower (pegs) and more than one rings. All rings are of different size and stacked upon each other where the large disk is always below the small disk. The aim is to move the tower of disk from one peg to another, without breaking its properties.","A recursive function is one which calls itself, directly or calls a function that in turn calls it. Every recursive function follows the recursive properties ? base criteria where functions stops calling itself and progressive approach where the functions tries to meet the base criteria in each iteration.","In a weighted graph, a minimum spanning tree is a spanning tree that has minimum weight that all other spanning trees of the same graph.",Prim's algorithm treats the nodes as a single tree and keeps on adding new nodes to the spanning tree from the given graph.,"Tower of Hanoi, is a mathematical puzzle which consists of three tower (pegs) and more than one rings. All rings are of different size and stacked upon each other where the large disk is always below the small disk. The aim is to move the tower of disk from one peg to another, without breaking its properties."
What is a binary search tree?,"A recursive function is one which calls itself, directly or calls a function that in turn calls it. Every recursive function follows the recursive properties ? base criteria where functions stops calling itself and progressive approach where the functions tries to meet the base criteria in each iteration.","Algorithm is a step by step procedure,for Program ","Algorithm is a step by step procedure, which defines a set of instructions to be executed in certain order to get the desired output.",A binary search tree is a binary tree with a special provision where a node's left child must have value less than its parent's value and node's right child must have value greater than it's parent value.,A binary search tree is a binary tree with a special provision where a node's left child must have value less than its parent's value and node's right child must have value greater than it's parent value.
What is a tree?,A tree is a minimally connected graph having no loops and circuits.,A tree is a maximally connected graph having no loops and circuits.,A tree is a only connected graph having no loops and circuits.,none of above,A tree is a minimally connected graph having no loops and circuits.
What is data-structure?,"Data structure is a way of defining, storing & retriving of data in a structural & systemetic way. A data structure may contain different type of data items.","Data structure is a step by step procedure, which defines a set of instructions to be executed in certain order to get the desired output.",A Data Structure is a minimally connected graph having no loops and circuits.,none of above,"Data structure is a way of defining, storing & retriving of data in a structural & systemetic way. A data structure may contain different type of data items."
What is hashing?,"Hashing is a technique to convert a range of key values into a range of indexes of an array. By using hash tables, we can create an associative data storage where data index can be find by providing its key values.",Hashing is a technique to convert a range of key values into a range of indexes of an Index execution.,we can create an associative data record where data can be find by providing its key format.,none of above,"Hashing is a technique to convert a range of key values into a range of indexes of an array. By using hash tables, we can create an associative data storage where data index can be find by providing its key values."
"A_________ is a pictorial representation of a set of objects where some pairs of objects are connected by links. The interconnected objects are represented by points termed as vertices, and the links that connect the vertices are called edges.",algoritham,Max-Heap,graph,none of above, graph
Which one of the below is not divide and conquer approach?,Insertion Sort,Merge Sort,Shell Sort,Heap Sort,Merge Sort
A ______________has a special condition that each node can have two children at maximum.,binary search,binary collection,insertion search,binary tree ,binary tree 
What data structure is used for breadth first traversal of a graph?,queue,stack, list, none of the above,queue
Project scheduling is an example of,greedy programming,dynamic programming,divide and conquer,none of the above,dynamic programming
Which of the below given sorting techniques has highest best-case runtime complexity ,quick sort, selection sort, insertion sort, bubble sort, selection sort
Recursion uses more memory space than iteration because, it uses stack instead of queue., every recursive call has to be stored., both A & B are true.,None of the above are true., every recursive call has to be stored.
if the data collection is in sorted form and equally distributed then the run time complexity of interpolation search is , ?(n),?(1),?(log n),?(log (log n)),?(log (log n))
Which of the following has search effeciency of ?(1),Tree,Heap, Hash Table, Linked-List, Hash Table
node.next -> node.next.next; will make,node.next inaccessible, node.next.next inaccessible,this node inaccessible,none of the above, node.next inaccessible
A stable sorting alrithm,does not crash.,does not run out of memory.,does not change the sequence of appearance of elements,does not exists.,does not change the sequence of appearance of elements.
"In context with time-complexity, find the odd out", Deletion from Linked List., Searching in Hash Table, Adding edge in Adjacency Matrix,Heapify a Binary Heap,Heapify a Binary Heap
Which of the following searching techniques do not require the data to be in sorted form, Binary Search, Interpolation Search,Linear Search, All of the above,Binary Search
"Graph traversal is different from a tree traversal, because",trees are not connected., graphs may have loops,trees have root.,None is true as tree is a subset of graph.,trees have root.
which is assingment operater,<variable>:=<expression>,<variable>=<expression>,<variable>:<expression>,both (A) &(B),both (A) &(B)
"""?"" Which Sing is this?",omega,big-O,bita,none of above,omega
Heap Data structure: How we can find left(child) element?(which formula is used),L(i)=2i+2/1,L(i)=2/i,L(i)=2i,L(i)=2i+1,L(i)=2i
Heap Data structure: How we can find Right(child) element?(which formula is used),R(i)=2i+1,R(i)=2/i,L(i)=2i+2/1,none of above,R(i)=2i+1
Heap Data structure: How we can find parent element?(which formula is used),P(i)=i/2,p(i)=2i+2/1,p(i)=2i/1,none of above,P(i)=i/2
Recursion algoritham types:,there is 1 types: 1Recursion with return value,there is 2 types: 1. Direct 2.Indirect,no types,none of above,there is 2 types: 1. Direct 2.Indirect
"the _______ Operation has two cases, depending on whether the ROOT of the tree have equal rank.",Union,Recursion,hashing,none of above,Union
__________ is a sorting technique based on key between specific range,counting sort,Radix sort,marge sort,NONE OF ABOVE,counting sort
the problem (instance) into sub problems that are smaller instance of the same problem,is Divide,Bucket sort,marge sort,counting sort,is Divide
Marge sort is based on?,counting sort,Divide and Conquer paradigm,Bucket sort,NONE OF ABOVE,Divide and Conquer paradigm
Marge sort is WORST-CASE running time has a lower Order of growth then insertion sort,TRUE,FALSE,Not valid to find diffrence,both (C) &(B),TRUE
"MAKE_SET(x) and UNION(x,h) is used in_____.",HEAP,MARGE SORT ,both (A)&(B),NONE OF ABOVE,Heap
Which among the following is the best when the list is already sorted?, Insertion sort,Bubble sort,Merge sort,Selection sort,
The running time of insertion sort is,O(n^2),O(n), O(log n),O(n log n),
Which of the following sorting methods would be most suitable for sorting a list which is almost sorted?,Bubble Sort,Insertion Sort,Selection Sort,Quick Sort,
The recurrence relation capturing the optimal execution time of the Towers of Hanoi problem with n discs is,T(n) = 2T(n - 2) + 2, T(n) = 2T(n - 1) + n,T(n) = 2T(n/2) + 1, T(n) = 2T(n - 1) + 1,
The concept of order Big O is important because,It can be used to decide the best algorithm that solves a given problem, It determines the maximum size of a problem that can be solved in a given amount of time,It is the lower bound of the growth rate of algorithm,Both A and B,
Which of the following case does not exist in complexity theory?,Best case, Worst case,Average case,Null case,
"A list of n strings, each of length n, is sorted into lexicographic order using the merge-sort algorithm. The worst case running time of this computation is",O (n log n),O (n2 log n),O (n2 + log n), O (n2),
The time factor when determining the efficiency of algorithm is measured by,Counting microseconds,Counting the number of key operations,Counting the number of statements,Counting the kilobytes of algorithm,
The space factor when determining the efficiency of algorithm is measured by,Counting the maximum memory needed by the algorithm,Counting the minimum memory needed by the algorithm,Counting the average memory needed by the algorithm,Counting the maximum disk space needed by the algorithm,
Two main measures for the efficiency of an algorithm are,Processor and memory,Complexity and capacity,Time and space,Data and space,
